cve,severity,reward,bug_tracker_id,bug_tracker_url,description,reporter,report_date,release_post_url,release_post_title,release_published,raw_line
CVE-2026-6363,Medium,N/A,495751197,https://issues.chromium.org/issues/495751197,Type Confusion in V8,Google,2026-03-24,https://chromereleases.googleblog.com/2026/04/stable-channel-update-for-desktop_15.html,Stable Channel Update for Desktop,2026-04-15T10:45:00.000-07:00,[N/A][495751197] Medium CVE-2026-6363: Type Confusion in V8. Reported by Google on 2026-03-24
CVE-2026-5861,High,$3000,486927780,https://issues.chromium.org/issues/486927780,Use after free in V8,5shain,2026-02-23,https://chromereleases.googleblog.com/2026/04/stable-channel-update-for-desktop.html,Stable Channel Update for Desktop,2026-04-07T14:27:00.000-07:00,[$3000][486927780] High CVE-2026-5861: Use after free in V8. Reported by 5shain on 2026-02-23
CVE-2026-5862,High,TBD,470566252,https://issues.chromium.org/issues/470566252,Inappropriate implementation in V8,Google,2025-12-21,https://chromereleases.googleblog.com/2026/04/stable-channel-update-for-desktop.html,Stable Channel Update for Desktop,2026-04-07T14:27:00.000-07:00,[TBD][470566252] High CVE-2026-5862: Inappropriate implementation in V8. Reported by Google on 2025-12-21
CVE-2026-5863,High,TBD,484527367,https://issues.chromium.org/issues/484527367,Inappropriate implementation in V8,Google,2026-02-14,https://chromereleases.googleblog.com/2026/04/stable-channel-update-for-desktop.html,Stable Channel Update for Desktop,2026-04-07T14:27:00.000-07:00,[TBD][484527367] High CVE-2026-5863: Inappropriate implementation in V8. Reported by Google on 2026-02-14
CVE-2026-5865,High,TBD,491884710,https://issues.chromium.org/issues/491884710,Type Confusion in V8,Project WhatForLunch (@pjwhatforlunch),2026-03-12,https://chromereleases.googleblog.com/2026/04/stable-channel-update-for-desktop.html,Stable Channel Update for Desktop,2026-04-07T14:27:00.000-07:00,[TBD][491884710] High CVE-2026-5865: Type Confusion in V8. Reported by Project WhatForLunch (@pjwhatforlunch) on 2026-03-12
CVE-2026-5871,High,TBD,495679730,https://issues.chromium.org/issues/495679730,Type Confusion in V8,Google,2026-03-24,https://chromereleases.googleblog.com/2026/04/stable-channel-update-for-desktop.html,Stable Channel Update for Desktop,2026-04-07T14:27:00.000-07:00,[TBD][495679730] High CVE-2026-5871: Type Confusion in V8. Reported by Google on 2026-03-24
CVE-2026-5873,High,TBD,496301615,https://issues.chromium.org/issues/496301615,Out of bounds read and write in V8,Google,2026-03-25,https://chromereleases.googleblog.com/2026/04/stable-channel-update-for-desktop.html,Stable Channel Update for Desktop,2026-04-07T14:27:00.000-07:00,[TBD][496301615] High CVE-2026-5873: Out of bounds read and write in V8. Reported by Google on 2026-03-25
CVE-2026-5893,Medium,TBD,487768771,https://issues.chromium.org/issues/487768771,Race in V8,QYmag1c,2026-02-26,https://chromereleases.googleblog.com/2026/04/stable-channel-update-for-desktop.html,Stable Channel Update for Desktop,2026-04-07T14:27:00.000-07:00,[TBD][487768771] Medium CVE-2026-5893: Race in V8. Reported by QYmag1c on 2026-02-26
CVE-2026-5904,Low,TBD,483851888,https://issues.chromium.org/issues/483851888,Use after free in V8,Zhenpeng (Leo) Lin at depthfirst,2026-02-12,https://chromereleases.googleblog.com/2026/04/stable-channel-update-for-desktop.html,Stable Channel Update for Desktop,2026-04-07T14:27:00.000-07:00,[TBD][483851888] Low CVE-2026-5904: Use after free in V8. Reported by Zhenpeng (Leo) Lin at depthfirst on 2026-02-12
CVE-2026-5279,High,TBD,490642836,https://issues.chromium.org/issues/490642836,Object corruption in V8,Hyeonjun Ahn (@_deayzl),2026-03-08,https://chromereleases.googleblog.com/2026/03/stable-channel-update-for-desktop_31.html,Stable Channel Update for Desktop,2026-03-31T12:31:00.000-07:00,[TBD][490642836] High CVE-2026-5279: Object corruption in V8. Reported by Hyeonjun Ahn (@_deayzl) on 2026-03-08
