cve,severity,reward,bug_tracker_ids,bug_tracker_urls,description,reporter,report_date,release_published,release_post_url,fix_commit_urls,fix_cl_urls,fix_subjects
CVE-2026-6363,Medium,N/A,495751197,https://issues.chromium.org/issues/495751197,Type Confusion in V8,Google,2026-03-24,2026-04-15T10:45:00.000-07:00,https://chromereleases.googleblog.com/2026/04/stable-channel-update-for-desktop_15.html,https://chromium.googlesource.com/v8/v8/+/a068030f517914f1f3f444fcb76c24f64c3e8f24 | https://chromium.googlesource.com/v8/v8/+/e42018b89a0c65f7eedc5dc4bd2a2b4e737e1503,https://chromium-review.googlesource.com/c/v8/v8/+/7702700 | https://chromium-review.googlesource.com/c/v8/v8/+/7760002,[maglev] Use transitive IsEscaping check for inlined allocations | [M147] [maglev] Use transitive IsEscaping check for inlined allocations
CVE-2026-5861,High,$3000,486927780,https://issues.chromium.org/issues/486927780,Use after free in V8,5shain,2026-02-23,2026-04-07T14:27:00.000-07:00,https://chromereleases.googleblog.com/2026/04/stable-channel-update-for-desktop.html,https://chromium.googlesource.com/v8/v8/+/912a425b2c81a03dbef9cb8f41d1e11c3fd4fb6d | https://chromium.googlesource.com/v8/v8/+/c62dafb744af4b26c5393915ccb3cccf7e7e4af5 | https://chromium.googlesource.com/v8/v8/+/ba0258ba96097bc799c61b145164ec343b56d37b,https://chromium-review.googlesource.com/c/v8/v8/+/7605102 | https://chromium-review.googlesource.com/c/v8/v8/+/7611687 | https://chromium-review.googlesource.com/c/v8/v8/+/7613210,"[inspector] Migrate InspectedContext and InjectedScript to cppgc | Revert ""[inspector] Migrate InspectedContext and InjectedScript to cppgc"" | [inspector] Use std::shared_ptr for InspectedContext"
CVE-2026-5862,High,TBD,470566252,https://issues.chromium.org/issues/470566252,Inappropriate implementation in V8,Google,2025-12-21,2026-04-07T14:27:00.000-07:00,https://chromereleases.googleblog.com/2026/04/stable-channel-update-for-desktop.html,https://chromium.googlesource.com/v8/v8/+/a0570afad500d7882b2e4c5981ccb6cf00704df5 | https://chromium.googlesource.com/v8/v8/+/6181c2e090b3b7eeb542219fde7bcb7082d38b29,https://chromium-review.googlesource.com/c/v8/v8/+/7415271 | https://chromium-review.googlesource.com/c/v8/v8/+/7611690,[maglev] Fix deopt use counting for deopt scope data | [maglev] Add regression test
CVE-2026-5863,High,TBD,484527367,https://issues.chromium.org/issues/484527367,Inappropriate implementation in V8,Google,2026-02-14,2026-04-07T14:27:00.000-07:00,https://chromereleases.googleblog.com/2026/04/stable-channel-update-for-desktop.html,https://chromium.googlesource.com/v8/v8/+/b54c7841e2cdb2c3a8c7c315daa41ca99ecd7329,https://chromium-review.googlesource.com/c/v8/v8/+/7593054,[*lev] Correctly update use counts for nested builtin continuations
CVE-2026-5865,High,TBD,491884710,https://issues.chromium.org/issues/491884710,Type Confusion in V8,Project WhatForLunch (@pjwhatforlunch),2026-03-12,2026-04-07T14:27:00.000-07:00,https://chromereleases.googleblog.com/2026/04/stable-channel-update-for-desktop.html,https://chromium.googlesource.com/v8/v8/+/433b2912c5cb94ed0979c8284e96e4d08416b620 | https://chromium.googlesource.com/v8/v8/+/2d9ff4098967b4fa66fd6930923c045f61e06488,https://chromium-review.googlesource.com/c/v8/v8/+/7661984 | https://chromium-review.googlesource.com/c/v8/v8/+/7673820,[maglev] Avoid eliding Smi checks too aggressively | Merged: [maglev] Avoid eliding Smi checks too aggressively
CVE-2026-5871,High,TBD,495679730,https://issues.chromium.org/issues/495679730,Type Confusion in V8,Google,2026-03-24,2026-04-07T14:27:00.000-07:00,https://chromereleases.googleblog.com/2026/04/stable-channel-update-for-desktop.html,https://chromium.googlesource.com/v8/v8/+/c1e78b455e3224e286914b5ac241fbea064cb51d,https://chromium-review.googlesource.com/c/v8/v8/+/7701796,[maglev] Account for phi smi type widening in BuildCheckHeapObject
CVE-2026-5873,High,TBD,496301615,https://issues.chromium.org/issues/496301615,Out of bounds read and write in V8,Google,2026-03-25,2026-04-07T14:27:00.000-07:00,https://chromereleases.googleblog.com/2026/04/stable-channel-update-for-desktop.html,https://chromium.googlesource.com/v8/v8/+/522e74a35cf4e53c3708ea396c299bfbb29d8489 | https://chromium.googlesource.com/v8/v8/+/4ef5cc27aa50b4a7e3096bbbffaf5058a811a2a9 | https://chromium.googlesource.com/v8/v8/+/1d0f9af486bcf6db12f33ee6aeeb6d5e50342200 | https://chromium.googlesource.com/v8/v8/+/f297f82fea9600676ba07a94e25764c6ffbd2ad5 | https://chromium.googlesource.com/v8/v8/+/2a2b1a2791a145d151b7254836e646d940f82a81,https://chromium-review.googlesource.com/c/v8/v8/+/7702193 | https://chromium-review.googlesource.com/c/v8/v8/+/7705594 | https://chromium-review.googlesource.com/c/v8/v8/+/7715258 | https://chromium-review.googlesource.com/c/v8/v8/+/7715044 | https://chromium-review.googlesource.com/c/v8/v8/+/7725435,[arm64][compiler] Always emit truncation to word32 | [compiler][arm64] Reenable implicit truncation and force explicit zero-extension of load/store index | Merged: [compiler][arm64] Force explicit zero-extension of load index | Merged: [compiler][arm64] Force explicit zero-extension of load index | [M138-LTS][compiler][arm64] Force explicit zero-extension of load index
CVE-2026-5893,Medium,TBD,487768771,https://issues.chromium.org/issues/487768771,Race in V8,QYmag1c,2026-02-26,2026-04-07T14:27:00.000-07:00,https://chromereleases.googleblog.com/2026/04/stable-channel-update-for-desktop.html,https://chromium.googlesource.com/v8/v8/+/02cd73dfc58dbe73054382c85f9f126af9ce597e,https://chromium-review.googlesource.com/c/v8/v8/+/7623620,[RAB/GSAB] Object.values: Handle a TA grown by a background thread gracefully
CVE-2026-5904,Low,TBD,483851888,https://issues.chromium.org/issues/483851888,Use after free in V8,Zhenpeng (Leo) Lin at depthfirst,2026-02-12,2026-04-07T14:27:00.000-07:00,https://chromereleases.googleblog.com/2026/04/stable-channel-update-for-desktop.html,https://chromium.googlesource.com/v8/v8/+/dffe5526c94d41a7662ceafd60bf38db447156b0,https://chromium-review.googlesource.com/c/v8/v8/+/7581074,Guard against iterator invalidation when reporting console messages
CVE-2026-5279,High,TBD,490642836,https://issues.chromium.org/issues/490642836,Object corruption in V8,Hyeonjun Ahn (@_deayzl),2026-03-08,2026-03-31T12:31:00.000-07:00,https://chromereleases.googleblog.com/2026/03/stable-channel-update-for-desktop_31.html,https://chromium.googlesource.com/v8/v8/+/c29f676270548a5b042a7b203b7c61e2808f0f09 | https://chromium.googlesource.com/v8/v8/+/119e64dc342ef8a76dfff5d8bfc5864cef690a8a,https://chromium-review.googlesource.com/c/v8/v8/+/7666017 | https://chromium-review.googlesource.com/c/v8/v8/+/7668523,[parser] Fix stack overflow in the rewriter | [parser] Check scope consistency
